id,created_at,updated_at,country,average,count,s1,s2,s3,s4,s5,type,date_string
33,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.501,40515,2263,830,1631,5432,30359,ios,20160709
34,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,143490,8478,4325,8291,25993,96403,android,20160709
35,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.501,40542,2263,829,1632,5435,30383,ios,20160710
36,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,143490,8478,4325,8291,25993,96403,android,20160710
37,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,143490,8478,4325,8291,25993,96403,android,20160711
38,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.501,40584,2264,832,1636,5435,30417,ios,20160711
39,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.501,40634,2264,830,1636,5443,30461,ios,20160712
40,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,143490,8478,4325,8291,25993,96403,android,20160712
41,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.501,40705,2268,832,1637,5453,30515,ios,20160713
42,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,143490,8478,4325,8291,25993,96403,android,20160713
43,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.377,143490,8478,4325,8291,25993,96403,android,20160714
44,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.502,40760,2268,834,1638,5464,30556,ios,20160714
45,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.504,41070,2271,833,1643,5509,30814,ios,20160718
46,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,144138,8520,4350,8341,26113,96814,android,20160718
47,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.504,41070,2271,833,1643,5509,30814,ios,20160719
48,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,144138,8520,4350,8341,26113,96814,android,20160719
49,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.504,41133,2271,832,1644,5520,30866,ios,20160720
50,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,144138,8520,4350,8341,26113,96814,android,20160720
51,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.505,41169,2271,833,1642,5527,30896,ios,20160721
52,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,144886,8572,4370,8374,26260,97310,android,20160721
53,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,144886,8572,4370,8374,26260,97310,android,20160722
54,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.505,41210,2270,832,1645,5531,30932,ios,20160722
55,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,144886,8572,4370,8374,26260,97310,android,20160725
56,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.507,41391,2270,834,1646,5547,31094,ios,20160725
57,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,144886,8572,4370,8374,26260,97310,android,20160726
58,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.508,41481,2270,834,1647,5550,31180,ios,20160726
59,2018-01-19 00:18:11 UTC,2018-01-19 00:18:11 UTC,DE,4.376,144886,8572,4370,8374,26260,97310,android,20160727
